Purchase Date,Product Name,Expiry Date,Quantity,Unit Price,Channel,Payment Method,Discount,Final Price
2023-03-14T08:09:54Z,Apple - Macintosh,2023-04-29,7,192.42,Store,Visa,0.05,182.79899999999998
2023-04-02T16:37:48Z,Apples - Spartan,2023-05-12,1,89.24,Store,Cash,0.0,89.24
2023-03-26T12:49:39Z,Flour - Bread,2023-04-02,16,201.11,Store,Visa,0.165,167.92685
2023-04-11T14:21:29Z,Mushroom - Oyster Fresh,2023-05-16,12,18.21,Store,Visa,0.060000000000000005,17.1174
2023-04-21T22:43:31Z,Truffle Cups - Red,2023-07-02,3,88.12,Store,Cash,0.0,88.12
2023-03-14T04:28:36Z,Egg Patty Fried,2023-05-24,6,221.74,App,Visa,0.07500000000000001,205.1095
2023-03-19T23:30:09Z,Squid - Breaded,2023-05-15,8,78.14,Store,Visa,0.05,74.233
2023-05-11T19:17:10Z,Wine - Red Lurton Merlot De,2023-06-26,9,166.47,Store,Visa,0.05,158.1465
2023-05-05T09:28:22Z,Skirt - 29 Foot,2023-07-14,13,226.61,Store,Visa,0.060000000000000005,213.01340000000002
2023-03-16T13:04:53Z,Wine - White Ej,2023-03-17,1,211.6,App,Visa,0.16999999999999998,175.628
2023-04-30T16:58:57Z,Vector Energy Bar,2023-06-18,15,212.47,App,Visa,0.125,185.91125
2023-04-06T03:52:02Z,Nut - Almond Blanched Ground,2023-05-17,1,109.23,Store,Cash,0.0,109.23
2023-04-27T10:39:44Z,Pastry - Apple Large,2023-07-23,13,113.5,Store,Visa,0.060000000000000005,106.69
2023-05-05T14:09:45Z,Puree - Blackcurrant,2023-08-02,10,179.65,Store,Cash,0.035,173.36225000000002
2023-04-19T20:19:49Z,Longos - Cheese Tortellini,2023-05-06,8,45.52,Store,Visa,0.09,41.4232
2023-04-16T02:06:28Z,Table Cloth 62x120 White,2023-05-31,7,142.9,Store,Cash,0.025,139.32750000000001
2023-03-13T08:33:14Z,Puree - Raspberry,2023-06-02,2,41.76,Store,Cash,0.0,41.76
2023-03-28T05:17:39Z,Saskatoon Berries - Frozen,2023-05-10,3,192.93,Store,Cash,0.0,192.93
2023-05-04T16:28:33Z,Mustard - Dijon,2023-05-28,17,107.73,Store,Cash,0.08,99.11160000000001
2023-04-01T14:42:24Z,Dragon Fruit,2023-06-19,1,41,Store,Visa,0.025,39.975
2023-04-04T15:40:13Z,Bread - White Sliced,2023-05-16,6,109.38,Store,Cash,0.025,106.6455
2023-04-14T04:58:39Z,Soup - Campbells Spinach Crm,2023-05-23,15,157.11,Store,Visa,0.07500000000000001,145.32675
2023-05-10T20:55:51Z,Salmon - Atlantic No Skin,2023-07-06,9,45.48,App,Visa,0.07500000000000001,42.068999999999996
2023-04-26T06:59:39Z,Tuna - Sushi Grade,2023-07-21,2,93.31,Store,Visa,0.025,90.97725
2023-04-20T16:49:36Z,Dried Apple,2023-05-22,15,71.27,Store,Cash,0.05,67.70649999999999
2023-04-10T16:41:10Z,Pepper - Jalapeno,2023-04-27,14,82.49,Store,Cash,0.1,74.241
2023-03-16T14:06:24Z,Onions - Pearl,2023-03-18,7,44.14,Store,Cash,0.165,36.8569
2023-04-22T10:19:06Z,Saskatoon Berries - Frozen,2023-06-14,4,220.58,Store,Visa,0.025,215.06550000000001
2023-04-29T15:13:22Z,Wine - White Pelee Island,2023-06-02,5,35.66,Store,Cash,0.025,34.768499999999996
2023-05-11T18:06:03Z,Yeast Dry - Fermipan,2023-07-02,9,14.16,Store,Cash,0.025,13.806000000000001
2023-03-28T11:15:55Z,Seaweed Green Sheets,2023-04-05,5,141.41,App,Visa,0.135,122.31965
2023-03-15T17:02:29Z,Pork - Sausage Casing,2023-04-20,6,198.93,Store,Visa,0.05,188.9835
2023-05-08T00:32:42Z,Coconut Milk - Unsweetened,2023-07-02,10,133.14,Store,Visa,0.060000000000000005,125.15159999999999
2023-04-02T01:09:07Z,Cookies - Assorted,2023-04-29,5,242.42,Store,Cash,0.015,238.78369999999998
2023-03-31T14:35:04Z,Lamb Rack Frenched Australian,2023-04-28,8,137.7,Store,Cash,0.035,132.88049999999998
2023-05-09T16:24:43Z,Lady Fingers,2023-06-22,10,199.82,Store,Cash,0.035,192.8263
2023-04-19T19:28:39Z,Seaweed Green Sheets,2023-05-05,11,70.92,Store,Cash,0.10500000000000001,63.4734
2023-04-11T22:21:24Z,Truffle Shells - Semi - Sweet,2023-06-29,10,17.26,Store,Cash,0.035,16.655900000000003
2023-05-07T22:27:28Z,Fennel - Seeds,2023-07-18,15,129.78,Store,Cash,0.05,123.291
2023-03-29T17:09:27Z,Appetizer - Asian Shrimp Roll,2023-06-10,9,176.11,Store,Visa,0.05,167.30450000000002
2023-04-02T20:57:45Z,Taro Leaves,2023-05-01,5,5.03,Store,Cash,0.005,5.00485
2023-04-27T23:47:18Z,Slt - Individual Portions,2023-05-08,12,211.52,Store,Cash,0.13,184.0224
2023-05-08T06:53:17Z,Sauce - Ranch Dressing,2023-08-02,12,119.88,Store,Cash,0.035,115.68419999999999
2023-04-15T07:00:56Z,Lamb - Shoulder,2023-06-29,1,22.06,Store,Cash,0.0,22.06
2023-05-09T14:08:35Z,Halibut - Whole Fresh,2023-05-26,6,223.55,Store,Visa,0.09,203.43050000000002
2023-05-07T22:41:01Z,Truffle Shells - White Chocolate,2023-07-10,8,13.07,Store,Cash,0.025,12.74325
2023-04-17T23:06:16Z,Fudge - Cream Fudge,2023-04-24,8,142.54,Store,Cash,0.14,122.58439999999999
2023-05-10T15:09:25Z,Beans - Navy Dry,2023-06-26,8,221.73,Store,Visa,0.05,210.6435
2023-04-19T06:42:52Z,Cherries - Maraschinojar,2023-06-15,11,51.88,Store,Cash,0.035,50.0642
2023-03-27T18:43:35Z,Tea - Herbal Sweet Dreams,2023-04-28,4,11.86,App,Visa,0.05,11.267
2023-03-22T19:07:07Z,Sesame Seed,2023-06-07,6,51.05,App,Visa,0.07500000000000001,47.22125
2023-04-13T23:44:52Z,Halibut - Whole Fresh,2023-06-17,14,52.33,Store,Visa,0.060000000000000005,49.1902
2023-05-12T07:56:42Z,Cheese - Le Cheve Noir,2023-08-08,11,177.59,Store,Visa,0.085,162.49485
2023-04-30T12:41:45Z,Wine - Red Wolf Blass Yellow,2023-05-26,15,133.44,Store,Cash,0.07500000000000001,123.432
2023-04-29T09:59:56Z,Ezy Change Mophandle,2023-05-26,6,85.01,App,Visa,0.07500000000000001,78.63425000000001
2023-04-19T20:46:55Z,Cup - 6oz Foam,2023-07-18,10,166.92,App,Visa,0.085,152.7318
2023-04-20T00:42:59Z,Halibut - Whole Fresh,2023-04-28,12,101.4,Store,Cash,0.14500000000000002,86.697
2023-04-18T10:47:43Z,Veal Inside - Provimi,2023-06-11,10,159.12,Store,Visa,0.060000000000000005,149.5728
2023-03-19T02:17:37Z,Mushroom - Lg - Cello,2023-05-15,14,131.04,App,Visa,0.11,116.62559999999999
2023-04-21T05:20:00Z,Pastry - Apple Muffins - Mini,2023-06-12,6,211.93,Store,Visa,0.05,201.33350000000002
2023-04-08T03:59:18Z,Curry Powder,2023-04-11,15,118.72,Store,Cash,0.185,96.7568
2023-04-13T07:47:35Z,Ecolab - Hand Soap Form Antibac,2023-05-03,5,18.58,Store,Cash,0.05,17.651
2023-03-31T06:51:48Z,Flavouring Vanilla Artificial,2023-05-22,11,124.27,Store,Visa,0.060000000000000005,116.8138
2023-04-16T22:20:48Z,Longos - Chicken Wings,2023-05-04,3,220.64,Store,Cash,0.06,207.40159999999997
2023-05-08T02:55:54Z,Eggplant - Asian,2023-06-25,1,142.85,Store,Visa,0.025,139.27875
2023-03-15T15:55:41Z,Pants Custom Dry Clean,2023-03-16,1,157.24,App,Visa,0.16999999999999998,130.50920000000002
2023-05-09T08:46:19Z,Country Roll,2023-06-06,10,88.82,Store,Cash,0.045000000000000005,84.8231
2023-03-27T14:03:36Z,Chips Potato Reg 43g,2023-06-01,15,167.36,Store,Visa,0.07500000000000001,154.80800000000002
2023-04-03T10:59:08Z,Apple - Delicious Golden,2023-06-06,6,110.15,App,Visa,0.07500000000000001,101.88875
2023-03-23T13:24:24Z,Table Cloth 54x54 White,2023-06-21,3,215.26,Store,Cash,0.25,161.445
2023-04-09T14:11:07Z,Shrimp - Baby Warm Water,2023-04-16,14,156.11,Store,Visa,0.15000000000000002,132.6935
2023-03-13T06:07:16Z,Southern Comfort,2023-04-22,13,14.48,Store,Cash,0.035,13.9732
2023-04-09T04:38:34Z,Cheese - Grana Padano,2023-05-24,11,118.31,Store,Visa,0.085,108.25365000000001
2023-04-08T14:49:16Z,Appetizer - Mushroom Tart,2023-06-20,14,12.77,Store,Cash,0.035,12.32305
2023-04-06T08:20:48Z,Ecolab - Orange Frc Cleaner,2023-04-30,11,108.87,Store,Visa,0.065,101.79345
2023-04-29T19:55:45Z,Wine - Red Gamay Noir,2023-06-15,2,242.92,App,Visa,0.05,230.774
2023-04-25T06:49:11Z,Crush - Orange 355ml,2023-07-10,4,11.74,App,Visa,0.05,11.153
2023-04-27T21:06:31Z,Pasta - Cappellini Dry,2023-05-09,13,1.99,Store,Visa,0.125,1.74125
2023-04-18T16:07:32Z,Bread - Corn Muffaletta,2023-05-17,17,165.69,Store,Visa,0.07500000000000001,153.26325
2023-04-22T21:09:42Z,Beer - True North Lager,2023-06-30,15,225.44,Store,Cash,0.05,214.168
2023-04-03T18:42:42Z,Foil - 4oz Custard Cup,2023-05-28,12,165.21,Store,Cash,0.035,159.42765
2023-04-11T07:44:11Z,Soup - Canadian Pea Dry Mix,2023-04-20,12,88.7,App,Visa,0.18,72.73400000000001
2023-04-24T21:45:25Z,Beans - Fava Canned,2023-07-03,15,53.44,Store,Cash,0.05,50.768
2023-04-11T01:52:11Z,Lamb - Loin Trimmed Boneless,2023-06-24,7,212.2,App,Visa,0.07500000000000001,196.285
2023-05-05T11:07:49Z,Wine - Duboeuf Beaujolais,2023-07-30,1,221.83,Store,Visa,0.05,210.73850000000002
2023-05-02T02:17:55Z,Sole - Dover Whole Fresh,2023-05-14,8,4.04,Store,Cash,0.11499999999999999,3.5754
2023-04-13T04:47:28Z,Rabbit - Frozen,2023-06-08,7,35.28,Store,Visa,0.05,33.516
2023-03-21T00:27:58Z,Squash - Pattypan Yellow,2023-05-18,14,53.38,Store,Cash,0.035,51.511700000000005
2023-04-22T22:48:28Z,Chicken - Bones,2023-05-03,3,209.73,Store,Visa,0.12,184.5624
2023-04-01T22:28:46Z,Salmon - Atlantic Skin On,2023-04-07,7,55.92,App,Visa,0.16999999999999998,46.4136
2023-03-22T13:50:50Z,Kiwi Gold Zespri,2023-06-20,15,14.41,Store,Cash,0.05,13.6895
2023-05-12T00:43:37Z,Fudge - Cream Fudge,2023-06-25,3,210.92,Store,Cash,0.0,210.92
2023-05-07T12:27:51Z,Apple - Royal Gala,2023-05-18,5,216.69,Store,Visa,0.12,190.6872
2023-03-27T13:03:41Z,Cheese - Montery Jack,2023-04-04,3,70.45,App,Visa,0.16,59.178000000000004
2023-03-18T02:20:43Z,Wine - Duboeuf Beaujolais,2023-04-15,6,74.09,Store,Visa,0.05,70.38550000000001
2023-04-14T04:07:16Z,Yukon Jack,2023-06-05,5,58.67,App,Visa,0.05,55.7365
2023-05-07T00:28:53Z,Wine - Remy Pannier Rose,2023-06-21,1,184.12,Store,Cash,0.025,179.517
2023-03-20T01:31:01Z,Sansho Powder,2023-04-12,10,191.18,Store,Visa,0.07,177.7974
2023-04-08T21:30:48Z,Wine - Rosso Toscano Igt,2023-06-07,15,106.2,Store,Cash,0.07500000000000001,98.235
2023-04-07T14:45:15Z,Smoked Paprika,2023-06-19,2,190.87,Store,Cash,0.0,190.87
2023-03-20T02:57:58Z,Duck - Fat,2023-05-28,14,190.27,App,Visa,0.11,169.3403
2023-05-04T05:23:42Z,Sauce - Apple Unsweetened,2023-07-31,15,20.27,App,Visa,0.125,17.73625
2023-04-02T21:30:28Z,Beef - Tenderloin,2023-04-09,13,3.79,Store,Cash,0.15000000000000002,3.2215
2023-04-27T23:17:03Z,Fish - Bones,2023-05-26,13,249.35,Store,Cash,0.04,239.376
2023-04-07T11:25:12Z,Cranberries - Dry,2023-05-23,4,79.07,Store,Cash,0.0,79.07
2023-05-08T22:54:33Z,Towel Multifold,2023-06-10,11,12.35,Store,Cash,0.035,11.91775
2023-04-02T06:02:36Z,Mushroom - Enoki Fresh,2023-05-27,7,205.07,App,Visa,0.07500000000000001,189.68975
2023-03-15T20:45:52Z,Aspic - Light,2023-06-10,15,124.66,Store,Visa,0.07500000000000001,115.31049999999999
2023-04-26T15:59:17Z,Split Peas - Yellow Dry,2023-06-24,15,165.33,Store,Cash,0.05,157.0635
2023-05-11T12:47:14Z,Chocolate - Milk Coating,2023-06-26,5,215.53,Store,Cash,0.0,215.53
2023-04-23T19:50:13Z,Ice Cream Bar - Drumstick,2023-06-28,12,51.42,Store,Visa,0.060000000000000005,48.3348
2023-04-18T18:27:10Z,Chocolate - Liqueur Cups With Foil,2023-07-11,12,122.24,App,Visa,0.11,108.7936
2023-03-25T21:53:59Z,Pastry - Carrot Muffin - Mini,2023-04-21,8,129.42,App,Visa,0.07500000000000001,119.71349999999998
2023-04-11T16:58:14Z,Puree - Guava,2023-05-02,7,150.83,Store,Cash,0.07,140.27190000000002
2023-05-08T02:28:40Z,Tarts Assorted,2023-06-06,8,144.34,App,Visa,0.07500000000000001,133.5145
2023-04-11T22:17:46Z,Lettuce - Boston Bib - Organic,2023-07-05,13,43.56,App,Visa,0.11,38.7684
2023-04-13T15:05:00Z,Longos - Chicken Caeser Salad,2023-06-01,8,140.43,Store,Cash,0.025,136.91925
2023-03-22T13:17:14Z,Flour - Semolina,2023-05-15,7,220.88,App,Visa,0.07500000000000001,204.314
2023-03-21T15:28:53Z,Mace Ground,2023-03-23,16,14.33,App,Visa,0.24000000000000002,10.890799999999999
2023-04-23T19:36:16Z,Sauce - Alfredo,2023-06-14,7,43.47,App,Visa,0.07500000000000001,40.20975
2023-04-26T10:25:36Z,Vegetable - Base,2023-07-02,8,40.37,App,Visa,0.07500000000000001,37.34225
2023-04-16T02:55:09Z,Cheese - Brie Cups 125g,2023-07-08,12,188.77,App,Visa,0.125,165.17375
2023-04-06T10:23:12Z,Muffin - Blueberry Individual,2023-06-12,12,213.32,Store,Visa,0.060000000000000005,200.52079999999998
2023-05-11T01:06:48Z,Veal - Insides Grains,2023-06-12,17,64.99,Store,Visa,0.07500000000000001,60.11574999999999
2023-03-26T02:11:18Z,Lighter - Bbq,2023-06-14,3,202.35,Store,Cash,0.0,202.35
2023-03-21T19:12:43Z,Juice - Orange Concentrate,2023-03-28,8,159.66,Store,Visa,0.14,137.30759999999998
2023-04-03T00:36:11Z,Papayas,2023-04-10,11,209.34,Store,Cash,0.15000000000000002,177.939
2023-04-07T01:40:18Z,Mussels - Cultivated,2023-06-29,5,123.51,App,Visa,0.05,117.3345
2023-05-04T02:56:25Z,Vinegar - Balsamic White,2023-05-16,17,147.55,Store,Cash,0.14,126.893
2023-03-13T21:58:11Z,Soup - Campbells Cream Of,2023-04-20,3,17.05,App,Visa,0.05,16.1975
2023-03-18T15:58:01Z,Celery,2023-04-12,4,168.52,App,Visa,0.05,160.09400000000002
2023-04-25T02:35:12Z,Mikes Hard Lemonade,2023-05-18,3,233.77,App,Visa,0.060000000000000005,219.74380000000002
2023-04-17T23:05:14Z,Quinoa,2023-04-24,2,219.08,App,Visa,0.14,188.4088
2023-03-21T23:39:42Z,Loquat,2023-04-07,1,249.91,App,Visa,0.09,227.4181
2023-05-08T17:50:49Z,Sprouts - Alfalfa,2023-06-23,11,76.33,Store,Visa,0.060000000000000005,71.75019999999999
2023-04-06T16:12:43Z,Rice - Long Grain,2023-06-16,17,186.36,Store,Visa,0.07500000000000001,172.383
2023-03-18T19:10:34Z,Bread - Italian Roll With Herbs,2023-05-23,12,130.76,Store,Visa,0.060000000000000005,122.91439999999999
2023-04-23T08:45:52Z,Ginger - Pickled,2023-05-05,4,14.2,Store,Visa,0.11499999999999999,12.567
2023-03-30T12:20:08Z,Wine - Baron De Rothschild,2023-06-25,10,62.87,Store,Cash,0.060000000000000005,59.0978
2023-03-13T11:23:35Z,Wine - Alicanca Vinho Verde,2023-05-03,1,239.31,App,Visa,0.05,227.3445
2023-04-19T12:09:52Z,Jam - Marmalade Orange,2023-06-20,8,80.18,App,Visa,0.07500000000000001,74.1665
2023-04-29T02:21:45Z,Lid Tray - 12in Dome,2023-07-04,14,127.32,App,Visa,0.11,113.31479999999999
2023-04-20T16:08:59Z,Horseradish - Prepared,2023-06-02,9,26.57,App,Visa,0.07500000000000001,24.57725
2023-03-19T19:41:08Z,Soup - Cream Of Potato / Leek,2023-03-22,13,215.69,Store,Visa,0.17,179.0227
2023-03-28T16:57:03Z,Sobe - Green Tea,2023-06-15,11,120.44,App,Visa,0.11,107.1916
2023-03-23T08:47:35Z,Sugar - Brown,2023-04-27,2,44.12,Store,Cash,0.25,33.089999999999996
2023-05-05T16:37:33Z,Soup - Knorr Chicken Gumbo,2023-06-30,9,243.98,Store,Cash,0.025,237.88049999999998
2023-04-24T01:53:34Z,Scallops - 10/20,2023-04-30,1,122.24,App,Visa,0.145,104.5152
2023-05-06T18:05:45Z,Dill Weed - Fresh,2023-06-04,10,141.04,App,Visa,0.085,129.05159999999998
2023-03-19T13:18:21Z,Russian Prince,2023-06-15,13,133.55,App,Visa,0.11,118.85950000000001
2023-04-27T02:27:33Z,Melon - Watermelon Yellow,2023-05-15,3,16.07,Store,Cash,0.06,15.1058
2023-03-20T05:23:01Z,Veal - Provimi Inside,2023-04-25,10,120.66,Store,Cash,0.035,116.4369
2023-04-22T04:08:04Z,Salt And Pepper Mix - Black,2023-06-25,10,119.3,Store,Cash,0.035,115.1245
2023-03-17T21:43:05Z,Salt - Kosher,2023-06-06,1,244.1,App,Visa,0.05,231.89499999999998
2023-03-22T23:55:48Z,Mix - Cocktail Ice Cream,2023-05-26,12,26.19,Store,Visa,0.060000000000000005,24.6186
2023-05-05T22:07:48Z,Pasta - Linguini Dry,2023-07-30,16,91.97,App,Visa,0.15000000000000002,78.1745
2023-03-27T17:37:38Z,Wine - Malbec Trapiche Reserve,2023-04-14,11,79.66,Store,Cash,0.095,72.0923
2023-04-06T08:06:17Z,Table Cloth 81x81 White,2023-05-29,1,124.98,Store,Cash,0.0,124.98
2023-04-23T05:34:17Z,Amaretto,2023-07-17,8,138.01,App,Visa,0.07500000000000001,127.65924999999999
2023-04-05T23:29:34Z,Sugar - Individual Portions,2023-05-25,15,210.1,App,Visa,0.125,183.8375
2023-03-22T02:01:42Z,Wine - Black Tower Qr,2023-06-05,17,95.52,Store,Cash,0.07500000000000001,88.356
2023-04-26T20:17:15Z,Wine - Clavet Saint Emilion,2023-05-16,13,67.31,Store,Cash,0.085,61.58865
2023-05-02T17:21:09Z,English Muffin,2023-06-02,3,13.14,Store,Visa,0.025,12.8115
2023-03-14T16:48:06Z,Isomalt,2023-03-31,8,59.41,Store,Visa,0.09,54.0631
2023-04-14T13:11:25Z,Beer - Alexander Kieths Pale Ale,2023-05-21,2,22.42,Store,Cash,0.0,22.42
2023-04-06T22:56:58Z,Shichimi Togarashi Peppeers,2023-05-08,16,15.79,App,Visa,0.15000000000000002,13.421499999999998
2023-03-15T05:50:31Z,Wine - Sake,2023-04-11,17,208.87,Store,Cash,0.07500000000000001,193.20475
2023-04-17T02:13:40Z,Truffle Shells - White Chocolate,2023-06-01,15,131.89,App,Visa,0.125,115.40374999999999
2023-04-30T11:41:02Z,Apple - Royal Gala,2023-06-01,14,129.94,Store,Visa,0.060000000000000005,122.14359999999999
2023-04-26T12:43:53Z,Water - Mineral Carbonated,2023-06-18,7,22.79,Store,Visa,0.05,21.6505
2023-03-18T21:12:11Z,Quail - Whole Boneless,2023-05-23,1,3.4,App,Visa,0.05,3.23
2023-04-24T20:37:51Z,Vinegar - Tarragon,2023-07-22,10,229.1,Store,Cash,0.035,221.0815
2023-04-25T11:57:25Z,Rappini - Andy Boy,2023-06-08,16,195.01,App,Visa,0.15000000000000002,165.7585
2023-05-12T14:22:40Z,Beer - True North Lager,2023-05-26,1,63.83,Store,Visa,0.10500000000000001,57.127849999999995
2023-04-15T11:06:58Z,Pork - Tenderloin Frozen,2023-05-01,1,73.59,App,Visa,0.095,66.59895
2023-04-23T18:23:46Z,Macaroons - Homestyle Two Bit,2023-04-29,17,125.91,Store,Visa,0.16999999999999998,104.5053
2023-03-24T20:39:55Z,Cream - 10%,2023-04-06,4,69.61,App,Visa,0.11000000000000001,61.9529
2023-04-12T12:09:36Z,Crab - Claws Snow 16 - 24,2023-05-18,2,35.31,App,Visa,0.05,33.5445
2023-04-06T12:34:11Z,Cheese - Cheddar Medium,2023-04-19,17,180.3,Store,Cash,0.135,155.95950000000002
2023-03-30T04:43:39Z,Temperature Recording Station,2023-06-10,15,137.9,Store,Visa,0.07500000000000001,127.5575
2023-05-02T18:17:33Z,Pasta - Fusili Dry,2023-07-28,14,114.41,App,Visa,0.11,101.8249
2023-05-07T16:20:58Z,Appetizer - Crab And Brie,2023-08-05,8,54.58,Store,Cash,0.025,53.2155
2023-03-25T13:04:23Z,Veal - Knuckle,2023-04-03,2,32.11,Store,Visa,0.13,27.9357
2023-04-16T09:56:15Z,Ice Cream - Chocolate,2023-04-17,13,179.99,App,Visa,0.21999999999999997,140.3922
2023-03-26T19:34:16Z,Flour Pastry Super Fine,2023-04-30,7,55.15,App,Visa,0.07500000000000001,51.01375
2023-04-18T05:19:07Z,Onions - Pearl,2023-06-24,12,202.72,Store,Cash,0.035,195.6248
2023-05-11T09:49:08Z,Bread - Rosemary Focaccia,2023-05-15,5,131.37,Store,Cash,0.13,114.2919
2023-04-03T10:17:53Z,Worcestershire Sauce,2023-05-14,4,222.03,Store,Cash,0.0,222.03
2023-04-08T04:31:01Z,Celery Root,2023-07-05,13,54.82,Store,Visa,0.060000000000000005,51.5308
2023-04-23T00:01:44Z,Scallops - Live In Shell,2023-04-29,8,138.99,Store,Cash,0.145,118.83645000000001
2023-04-12T06:24:37Z,Cabbage - Nappa,2023-06-12,3,164.73,Store,Visa,0.025,160.61175
2023-03-28T15:08:15Z,Cheese - Cheddar Mild,2023-06-06,3,49.83,Store,Visa,0.07500000000000001,46.092749999999995
2023-04-10T21:54:53Z,Wine - Chardonnay South,2023-04-16,2,115.43,Store,Cash,0.145,98.69265000000001
2023-04-22T22:09:44Z,Wine - Periguita Fonseca,2023-06-22,13,71.79,App,Visa,0.11,63.893100000000004
2023-04-21T14:04:57Z,Wine - Pinot Noir Mondavi Coastal,2023-04-23,15,96.52,Store,Visa,0.19,78.18119999999999
2023-05-12T11:46:23Z,Bread - Granary Small Pull,2023-08-07,16,119.31,App,Visa,0.15000000000000002,101.4135
2023-04-22T01:54:01Z,Spice - Chili Powder Mexican,2023-04-24,10,36.79,Store,Visa,0.17500000000000002,30.35175
2023-05-09T15:31:53Z,Crackers - Water,2023-06-16,13,152.51,Store,Cash,0.035,147.17215
2023-03-25T17:38:30Z,Dawn Professionl Pot And Pan,2023-06-21,13,13.15,Store,Visa,0.060000000000000005,12.361
2023-04-02T14:03:26Z,Bread Ww Cluster,2023-04-15,1,158.53,Store,Cash,0.085,145.05495
2023-03-24T23:53:37Z,Bread - Pumpernickel,2023-05-07,2,152.35,App,Visa,0.05,144.7325
2023-04-10T14:32:30Z,Tandoori Curry Paste,2023-07-09,4,189.24,App,Visa,0.05,179.77800000000002
2023-04-20T08:10:43Z,Bay Leaf Ground,2023-07-08,7,39.62,Store,Visa,0.05,37.638999999999996
2023-04-06T12:58:47Z,Tart Shells - Savory 3,2023-05-31,6,37.27,Store,Visa,0.05,35.4065
2023-04-13T02:41:09Z,Saskatoon Berries - Frozen,2023-05-03,7,241.24,Store,Visa,0.07500000000000001,223.147
2023-04-26T19:18:35Z,Shrimp - 16/20 Iqf Shell On,2023-06-19,14,100.26,App,Visa,0.11,89.23140000000001
2023-05-01T22:41:08Z,Ecolab - Solid Fusion,2023-05-27,10,28.24,Store,Cash,0.05500000000000001,26.686799999999998
2023-03-18T20:31:13Z,Soup - Knorr Veg / Beef,2023-05-06,2,229.49,Store,Visa,0.025,223.75275000000002
2023-04-18T01:48:19Z,Calvados - Boulard,2023-04-23,3,243.36,Store,Cash,0.125,212.94
2023-04-23T11:30:46Z,Bread - Petit Baguette,2023-06-18,15,141.69,App,Visa,0.125,123.97874999999999
2023-03-19T04:03:21Z,Garlic Powder,2023-04-10,4,219.99,App,Visa,0.065,205.69065
2023-05-11T10:58:57Z,Yukon Jack,2023-08-09,10,86.87,App,Visa,0.085,79.48605
2023-04-10T13:02:33Z,Soup - Cream Of Potato / Leek,2023-04-23,2,20.26,Store,Visa,0.11000000000000001,18.0314
2023-03-28T01:46:19Z,Lentils - Red Dry,2023-06-25,5,187.37,Store,Cash,0.0,187.37
2023-04-01T07:31:29Z,Garlic - Elephant,2023-06-06,13,35.53,App,Visa,0.11,31.6217
2023-04-18T13:48:29Z,Lamb - Loin Trimmed Boneless,2023-07-08,2,2.11,Store,Cash,0.0,2.11
2023-03-28T16:00:51Z,Gatorade - Orange,2023-05-20,7,232.71,App,Visa,0.07500000000000001,215.25675
2023-03-21T10:02:43Z,Juice - Apple 1.36l,2023-03-30,17,115.26,Store,Visa,0.155,97.3947
